play_id,game_id,season,week,season_type,home_team,away_team,play_deleted,touchdown,pass_touchdown,rush_touchdown,return_touchdown,interception,fumble,fumble_lost,kickoff_attempt,punt_attempt,punt_blocked,field_goal_attempt,extra_point_attempt,two_point_attempt,defensive_two_point_conv,defensive_extra_point_conv,safety,special,special_teams_play,play_type,play_type_nfl,posteam,defteam,td_team,td_player_id,return_team,fumble_recovery_1_team,fumble_recovery_2_team,fumbled_1_team,fumbled_2_team,field_goal_result,extra_point_result,two_point_conv_result,st_play_type,posteam_score,defteam_score,posteam_score_post,defteam_score_post
1,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,,,,,,,,,,,,,,,,,0,0,,GAME_START,,,,,,,,,,,,,,,,,
40,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,kickoff,KICK_OFF,CLE,PIT,,,CLE,,,,,,,,,0,0,0,0
56,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,INTERCEPTION,CLE,PIT,PIT,00-0036333,PIT,,,,,,,,,0,0,0,6
84,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,extra_point,XP_KICK,PIT,CLE,,,,,,,,,good,,,6,0,7,0
99,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,kickoff,KICK_OFF,CLE,PIT,,,CLE,,,,,,,,,0,7,0,7
122,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,0,7,0,7
156,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_play,TIMEOUT,,,,,,,,,,,,,,,,,
144,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,0,7,0,7
176,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,0,7,0,7
206,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,0,7,0,7
230,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,0,7,0,7
255,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,0,7,0,7
280,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,0,7,0,7
302,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,0,7,0,7
324,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no_play,PENALTY,CLE,PIT,,,,,,,,,,,,0,7,0,7
357,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,run,RUSH,CLE,PIT,,,,,,,,,,,,0,7,0,7
384,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,CLE,PIT,,,,,,,,,,,,0,7,0,7
412,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,field_goal,FIELD_GOAL,CLE,PIT,,,,,,,,made,,,,0,7,3,7
432,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,kickoff,KICK_OFF,PIT,CLE,,,PIT,,,,,,,,,7,3,7,3
467,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,PIT,CLE,,,,,,,,,,,,7,3,7,3
497,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,PASS,PIT,CLE,,,,,,,,,,,,7,3,7,3
520,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,INTERCEPTION,PIT,CLE,,,CLE,,,,,,,,,7,3,7,3
547,2023_02_CLE_PIT,2023,2,REG,PIT,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pass,SACK,CLE,PIT,,,,,,,,,,,,3,7,3,7
